#File created: 2020-11-17T17:01:35.488185
#Units are in GigaBits (10^9 bits)

Orbit,  1 , 2018-278, 2019-087
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 29.50, 00.00, 00.30, 00.30, 02.95, 11.80, 00.00, 00.00, 14.16
Usage:, 27.75, 00.00, 00.10, 00.71, 09.04, 04.20, 00.00, 00.00, 13.70
Prcnt:, 94.07, 00.00, 33.90, 240.7, 306.4, 35.59, 00.00, 00.00, 96.75

Orbit,  2 , 2019-087, 2019-142
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 37.00, 00.00, 00.37, 00.37, 18.50, 00.00, 00.00, 00.00, 17.76
Usage:, 39.73, 00.00, 00.03, 00.34, 21.36, 00.00, 00.00, 00.00, 18.00
Prcnt:, 107.4, 00.00, 08.11, 91.89, 115.5, 00.00, 00.00, 00.00, 101.3

Orbit,  2B , 2019-142, 2019-228
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 71.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 71.00
Usage:, 61.67, 00.00, 00.02, 00.17, 02.29, 00.00, 00.00, 00.00, 59.20
Prcnt:, 86.86, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 83.38

Orbit,  3A , 2019-228, 2019-289
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 65.00, 00.00, 00.65, 00.65, 32.50, 00.00, 00.00, 00.00, 31.20
Usage:, 29.94, 00.00, 00.05, 00.44, 22.39, 00.00, 00.00, 00.00, 07.06
Prcnt:, 46.06, 00.00, 07.69, 67.69, 68.89, 00.00, 00.00, 00.00, 22.63

Orbit,  3B , 2019-289, 2020-016
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 82.50, 00.00, 00.83, 00.83, 08.25, 00.00, 00.00, 00.00, 72.60
Usage:, 74.31, 00.00, 00.62, 00.30, 04.21, 00.00, 00.00, 00.00, 69.18
Prcnt:, 90.07, 00.00, 75.15, 36.36, 51.03, 00.00, 00.00, 00.00, 95.29

Orbit,  4 , 2020-016, 2020-130
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 29.50, 00.00, 01.18, 01.18, 02.66, 11.21, 00.00, 00.00, 13.28
Usage:, 30.18, 00.00, 00.23, 00.64, 23.74, 00.00, 00.00, 00.00, 05.58
Prcnt:, 102.3, 00.00, 19.49, 54.24, 894.2, 00.00, 00.00, 00.00, 42.03

Orbit,  5A , 2020-130, 2020-191
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 62.50, 00.00, 00.63, 00.63, 31.25, 00.00, 00.00, 00.00, 30.00
Usage:, 46.50, 00.00, 00.19, 00.27, 17.00, 00.00, 00.00, 00.00, 29.04
Prcnt:, 74.40, 00.00, 30.40, 43.20, 54.40, 00.00, 00.00, 00.00, 96.80

Orbit,  5B , 2020-191, 2020-211
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 59.00, 00.00, 00.59, 00.59, 29.50, 00.00, 00.00, 00.00, 28.32
Usage:, 31.29, 00.00, 00.08, 00.02, 00.54, 00.06, 00.00, 00.00, 30.60
Prcnt:, 53.03, 00.00, 13.56, 03.39, 01.83, 00.00, 00.00, 00.00, 108.0

Orbit,  5C , 2020-211, 2020-236
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 34.00, 00.00, 00.34, 00.34, 17.00, 00.00, 00.00, 00.00, 16.32
Usage:, 23.31, 00.00, 00.13, 00.12, 00.63, 00.00, 00.00, 00.15, 22.28
Prcnt:, 68.56, 00.00, 38.24, 35.29, 03.71, 00.00, 00.00, 00.00, 136.5

Orbit,  6A , 2020-236, 2020-310
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 62.50, 00.00, 00.63, 00.63, 31.25, 00.00, 00.00, 15.00, 15.00
Usage:, 60.25, 00.00, 00.06, 00.20, 12.48, 00.00, 00.00, 23.64, 23.87
Prcnt:, 96.40, 00.00, 09.60, 32.00, 39.94, 00.00, 00.00, 157.6, 159.1

Orbit,  6B , 2020-310, 2021-008
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 62.00, 00.00, 00.62, 00.62, 01.86, 00.00, 00.00, 06.20, 52.70
Usage:, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00
Prcnt:, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00, 00.00

Orbit,  7A , 2021-008, 2020-306
 TYPE , Total,    P1,    P2,    P3,    P4,    P5,    P6,    P7,    P8
Alloc:, 51.50, 00.00, 00.52, 00.52, 25.75, 00.00, 00.00, 12.36, 12.36
Usage:, 188.08, 00.00, 00.56, 01.13, 54.22, 00.06, 00.00, 23.80, 108.32
Prcnt:, 365.2, 00.00, 108.7, 219.4, 210.6, 00.00, 00.00, 192.6, 876.4
